Word
Aquitaine
Byzantine
Canterbury
Carmelite
Chernobyl
Choctaws
Euphrates
Samhain
San Joaquin
Tlingit
Wednesday
accommodations
acquaintance
alighted
ambiguity
anecdotes
anomaly
assizes
barren
bibliophile
buccaneer
burro
buzzard
bygone
cabeza
cache
camouflaged
cascabel
catechism
cavalier
charade
chlorofluorocarbon
circumspectly
clientele
cohort
committee
consensus
conspiratorial
conveyance
creosote
crescendo
crystalline
defibrillator
deposition
detainees
dysfunctional
effectual
emblem
endowed
eulogy
euphoria
famine
fandango
fend
filagree
flamboyant
foist
fruition
fuselage
gallipot
gargoyles
gasket
gerbilles
gerbils**
giddily
glabrous
gondolas
graphite
gravelly
grosgrain
grotesque
gullet
haberdasher
hurly-burly
hydraulics
immunization
imperator
incorporeal
infrastructure
inimitable
keening
klystron
lallygag
laurel
leeward
lieutenant
linoleum
locust
lollygag**
louis d’or
lubbers
magenta
mañana
melancholy
membrane
merfolk
mirage
miscreant
muttonchops
nan
newfangled
noncommittal
objet d’art
ocelot
onyx
operant
parroting
pentameter
pinyon
piñon
placque
plaque**
prosecutor
psychometry
puncheon
puppeteer
rancid
recoil
regales
relegated
reticule
rookery
ruffian
sentient
skiff
smoldering
smouldering
speckled
spritzed
stifle
stockade
suffice
suffocate
surcharge
symbolises*
séance
techie
technicalities
tersely
threshold
tiff
translucent
upholstery
vermin
veterinarian
vial
villainous
vociferous
whee
writhes
